Move,Use_Percentage,Pokemon,Unique
Taunt,0.2039,Incineroar,0
Taunt,0.1789,Thundurus Incarnate Forme,0
Taunt,0.2755,Whimsicott,0
Taunt,0.2437,Tornadus Incarnate Forme,0
Taunt,0.6625,Dusclops,0
Taunt,0.9779,Weezing,0
Taunt,0.307,Tapu Lele,0
Taunt,0.4392,Mimikyu,0
Taunt,0.0966,Gothitelle,0
Taunt,0.179,Umbreon,0
Taunt,0.4728,Spectrier,0
Taunt,0.4136,Tsareena,0
Taunt,0.0972,Galarian Zapdos,0
Taunt,0.0635,Alolan Persian,0
Taunt,0.1004,Galarian Moltres,0
Taunt,0.1731,Talonflame,0
Taunt,0.1329,Sneasel,0
Taunt,0.2855,Galarian Weezing,0
Taunt,0.2179,Gyarados,0
Taunt,0.5184,Tapu Bulu,0
Taunt,0.3002,Froslass,0
Taunt,0.039,Jellicent,0
Taunt,0.62,Mandibuzz,0
Taunt,0.4426,Obstagoon,0
Taunt,0.0824,Scrafty,0
Taunt,0.068,Aerodactyl,0
Taunt,0.1286,Heatran,0
Taunt,0.2393,Bisharp,0
Taunt,0.1071,Corviknight,0
Taunt,0.0366,Gengar,0
Taunt,0.2583,Crobat,0
Taunt,0.2084,Zoroark,0
Taunt,0.0429,Virizion,0
Taunt,0.0757,Alakazam,0
Taunt,0.9169,Torracat,0
Taunt,0.1553,Thievul,0
Taunt,0.3617,Salazzle,0
Taunt,0.4896,Emolga,0
Taunt,0.266,Toxtricity Low Key Form,0
Taunt,0.2772,Mr. Mime,0
Taunt,0.1746,Unfezant,0
Taunt,0.1107,Perrserker,0
Taunt,0.1815,Morpeko Full Belly Mode,0
Taunt,0.2284,Noivern,0
Taunt,0.6028,Drapion,0
Taunt,0.7536,Vanilluxe,0
Taunt,0.9689,Mime Jr.,0
Snarl,0.095,Incineroar,0
Snarl,0.2224,Calyrex Shadow Rider,0
Snarl,0.4545,Yveltal,0
Snarl,0.287,Entei,0
Snarl,0.9078,Umbreon,0
Snarl,0.8582,Spectrier,0
Snarl,0.6614,Arcanine,0
Snarl,0.6225,Zamazenta Crowned Shield,0
Snarl,0.8588,Suicune,0
Snarl,0.2106,Liepard,0
Snarl,0.1688,Hydreigon,0
Snarl,0.0943,Glastrier,0
Snarl,0.3783,Galarian Moltres,0
Snarl,0.079,Tyranitar,0
Snarl,0.2282,Raikou,0
Snarl,0.298,Krookodile,0
Snarl,0.3658,Mandibuzz,0
Snarl,0.5641,Scrafty,0
Snarl,0.5059,Boltund,0
Snarl,0.8169,Manectric,0
Snarl,0.4734,Drampa,0
Snarl,0.5511,Zoroark,0
Snarl,0.814,Haxorus,0
Snarl,0.8158,Thievul,0
Snarl,0.4506,Toxtricity Low Key Form,0
Snarl,0.1348,Stoutland,0
Snarl,0.112,Drapion,0
Water Spout,0.936,Kyogre,0
Water Spout,0.0823,Blastoise,0
Water Spout,0.5723,Jellicent,0
Origin Pulse,0.7779,Kyogre,1
Ice Beam,0.7736,Kyogre,0
Ice Beam,0.7987,Gastrodon,0
Ice Beam,0.284,Porygon2,0
Ice Beam,0.1537,Blastoise,0
Ice Beam,0.0932,White Kyurem,0
Ice Beam,0.1766,Milotic,0
Ice Beam,0.0905,Mewtwo,0
Ice Beam,0.1022,Inteleon,0
Ice Beam,0.0601,Politoed,0
Ice Beam,0.3487,Ludicolo,0
Ice Beam,0.1084,Primarina,0
Ice Beam,0.0791,Latias,0
Ice Beam,0.0645,Cresselia,0
Ice Beam,0.9319,Wishiwashi Solo Form,0
Ice Beam,0.8295,Mantine,0
Ice Beam,0.0595,Goodra,0
Ice Beam,0.3834,Silvally,0
Ice Beam,0.1325,Starmie,0
Ice Beam,0.1099,Vaporeon,0
Ice Beam,0.0291,Lopunny,0
Ice Beam,0.2541,Golduck,0
Ice Beam,0.1655,Cursola,0
Ice Beam,0.5026,Exploud,0
Ice Beam,0.8173,Seaking,0
Ice Beam,0.035,Tentacruel,0
Thunder,0.5406,Kyogre,0
Thunder,0.2584,Zapdos,0
Thunder,0.1991,Lapras,0
Thunder,0.1126,Tapu Koko,0
Thunder,0.4002,Thundurus Therian Forme,0
Thunder,0.1065,Wash Rotom,0
Thunder,0.1429,Pikachu,0
Thunder,0.3029,Raikou,0
Thunder,0.7735,Heliolisk,0
Thunder,0.3641,Porygon-Z,0
Thunder,0.2863,Duraludon,0
Thunder,0.172,Vikavolt,0
Thunder,0.1645,Xurkitree,0
Thunder,0.1293,Mow Rotom,0
Thunder,0.8641,Manectric,0
Thunder,0.0839,Magnezone,0
Thunder,0.3998,Frost Rotom,0
Thunder,0.3751,Jolteon,0
Thunder,0.2136,Reuniclus,0
Thunder,0.3996,Galvantula,0
Thunder,0.1256,Dragalge,0
Blizzard,0.1252,Kyogre,0
Blizzard,0.5296,Blastoise,0
Blizzard,0.2482,Dialga,0
Blizzard,0.5773,White Kyurem,0
Blizzard,0.1952,Tapu Fini,0
Blizzard,0.1992,Lapras,0
Blizzard,0.4431,Milotic,0
Blizzard,0.1488,Mewtwo,0
Blizzard,0.049,Ludicolo,0
Blizzard,0.7558,Alolan Ninetales,0
Blizzard,0.1338,Porygon-Z,0
Blizzard,0.7471,Abomasnow,0
Blizzard,0.1158,Glaceon,0
Blizzard,0.0358,Vaporeon,0
Blizzard,1,Frost Rotom,0
Blizzard,0.0844,Cursola,0
Blizzard,0.1521,Exploud,0
Blizzard,0.9983,Vanilluxe,0
Blizzard,0.3008,Tentacruel,0
Blizzard,0.1253,Dunsparce,0
Reflect,0.7587,Grimmsnarl,0
Reflect,0.0718,Tapu Lele,0
Reflect,0.0469,Dragapult,0
Reflect,0.7402,Meowstic Male,0
Reflect,0.4794,Raikou,0
Reflect,0.5596,Togedemaru,0
Reflect,0.788,Klefki,0
Reflect,0.2912,Articuno,0
Reflect,0.0484,Togetic,0
Reflect,0.0877,Ribombee,0
Reflect,0.1317,Aromatisse,0
Reflect,0.1245,Magneton,0
Reflect,0.0968,Claydol,0
Light Screen,0.6399,Grimmsnarl,0
Light Screen,0.0452,Raichu,0
Light Screen,0.0523,Tapu Fini,0
Light Screen,0.09,Dragapult,0
Light Screen,0.0767,Tapu Koko,0
Light Screen,0.8013,Meowstic Male,0
Light Screen,0.4437,Raikou,0
Light Screen,0.7869,Klefki,0
Light Screen,0.9487,Charjabug,0
Light Screen,0.1321,Aromatisse,0
Light Screen,0.097,Claydol,0
Light Screen,0.0936,Reuniclus,0
Light Screen,0.1141,Galarian Corsola,0
Light Screen,0.0351,Orbeetle,0
Thunder Wave,0.5535,Grimmsnarl,0
Thunder Wave,0.1183,Thundurus Incarnate Forme,0
Thunder Wave,0.0719,Liepard,0
Thunder Wave,0.1848,Meowstic Male,0
Thunder Wave,0.0538,Tyranitar,0
Thunder Wave,0.4363,Raikou,0
Thunder Wave,0.9224,Klefki,0
Thunder Wave,0.1382,Cresselia,0
Thunder Wave,0.4666,Boltund,0
Thunder Wave,0.0895,Manectric,0
Thunder Wave,0.1447,Cinccino,0
Thunder Wave,0.1231,Togetic,0
Thunder Wave,0.0544,Salazzle,0
Thunder Wave,0.2525,Mr. Mime,0
Thunder Wave,0.4945,Lopunny,0
Thunder Wave,0.0881,Miltank,0
Thunder Wave,0.0582,Stoutland,0
Thunder Wave,0.2858,Jolteon,0
Spirit Break,0.5275,Grimmsnarl,1
Foul Play,0.3845,Grimmsnarl,0
Foul Play,0.1923,Thundurus Incarnate Forme,0
Foul Play,0.1087,Amoonguss,0
Foul Play,0.6061,Yveltal,0
Foul Play,0.4472,Porygon2,0
Foul Play,0.1393,Sableye,0
Foul Play,0.9897,Umbreon,0
Foul Play,0.5376,Liepard,0
Foul Play,0.3337,Weavile,0
Foul Play,0.9856,Alolan Persian,0
Foul Play,0.164,Galarian Moltres,0
Foul Play,0.0442,Sneasel,0
Foul Play,0.1568,Wash Rotom,0
Foul Play,0.1482,Tyranitar,0
Foul Play,0.2,Oranguru,0
Foul Play,0.2934,Krookodile,0
Foul Play,0.1715,Shiftry,0
Foul Play,0.9549,Toxicroak,0
Foul Play,0.133,Porygon-Z,0
Foul Play,0.2445,Klefki,0
Foul Play,0.6259,Mandibuzz,0
Foul Play,0.4223,Scrafty,0
Foul Play,0.9964,Diggersby,0
Foul Play,0.2316,Thievul,0
Scary Face,0.3462,Grimmsnarl,0
Scary Face,0.1458,Thundurus Incarnate Forme,0
Scary Face,0.2649,Drapion,0
Trick,0.3265,Grimmsnarl,0
Trick,0.0484,Calyrex Shadow Rider,0
Trick,0.2068,Sableye,0
Trick,0.1637,Indeedee Male,0
Trick,0.1627,Meowstic Male,0
Trick,0.6478,Blacephalon,0
Trick,0.2227,Espeon,0
Trick,0.1665,Starmie,0
Trick,0.0456,Gallade,0
Trick,0.1108,Frost Rotom,0
Fake Tears,0.1756,Grimmsnarl,0
Fake Tears,0.0708,Whimsicott,0
Fake Tears,0.5594,Liepard,0
Fake Tears,0.6822,Weavile,0
Fake Tears,0.8218,Alolan Persian,0
Fake Tears,0.1575,Alolan Ninetales,0
Fake Tears,0.4028,Froslass,0
Fake Tears,0.1447,Cinccino,0
Fake Tears,0.1654,Zoroark,0
Fake Tears,0.5123,Slurpuff,0
Fake Tears,0.7003,Thievul,0
Fake Tears,0.0424,Cofagrigus,0
Fake Tears,0.0998,Salazzle,0
Fake Tears,0.1862,Ninetales,0
Fake Tears,0.1525,Ribombee,0
Fake Tears,0.1081,Aromatisse,0
Fake Tears,0.2331,Jolteon,0
Electroweb,0.849,Regieleki,0
Electroweb,0.1644,Thundurus Incarnate Forme,0
Electroweb,0.6733,Raichu,0
Electroweb,0.1851,Tapu Koko,0
Electroweb,0.1028,Thundurus Therian Forme,0
Electroweb,0.2973,Pikachu,0
Electroweb,0.7931,Heliolisk,0
Electroweb,0.2241,Xurkitree,0
Electroweb,0.3274,Mow Rotom,0
Electroweb,0.0407,Emolga,0
Electroweb,0.5847,Dedenne,0
Electroweb,0.8815,Galvantula,0
Thunderbolt,0.3815,Regieleki,0
Thunderbolt,0.2215,Thundurus Incarnate Forme,0
Thunderbolt,0.6966,Zapdos,0
Thunderbolt,0.9839,Heat Rotom,0
Thunderbolt,0.0562,Lugia,0
Thunderbolt,0.1851,Tapu Koko,0
Thunderbolt,0.4953,Thundurus Therian Forme,0
Thunderbolt,0.7706,Wash Rotom,0
Thunderbolt,0.4015,Pikachu,0
Thunderbolt,0.557,Raikou,0
Thunderbolt,0.1174,Heliolisk,0
Thunderbolt,0.1048,Porygon-Z,0
Thunderbolt,0.0787,Latias,0
Thunderbolt,0.553,Duraludon,0
Thunderbolt,0.8146,Vikavolt,0
Thunderbolt,0.5019,Boltund,0
Thunderbolt,0.2475,Goodra,0
Thunderbolt,0.5041,Xurkitree,0
Thunderbolt,0.827,Mow Rotom,0
Thunderbolt,0.0368,Gengar,0
Thunderbolt,0.117,Manectric,0
Thunderbolt,0.1048,Starmie,0
Thunderbolt,0.8342,Magnezone,0
Thunderbolt,0.9901,Frost Rotom,0
Thunderbolt,0.5447,Magneton,0
Thunderbolt,0.1097,Jolteon,0
Thunderbolt,0.2469,Wigglytuff,0
Thunderbolt,0.063,Gardevoir,0
Thunderbolt,0.4594,Beheeyem,0
Thunderbolt,0.4567,Dragalge,0
Thunderbolt,0.9311,Fan Rotom,0
Bounce,0.3659,Regieleki,0
Bounce,0.2674,Kingdra,0
Bounce,0.7529,Seismitoad,0
Bounce,0.8027,Cinderace,0
Bounce,0.8374,Barraskewda,0
Bounce,0.0616,Tsareena,0
Bounce,0.7257,Gyarados,0
Bounce,0.1727,Shiftry,0
Bounce,0.7631,Cobalion,0
Bounce,0.6306,Virizion,0
Bounce,0.0845,Sharpedo,0
Bounce,0.6106,Hitmonlee,0
Wild Charge,0.3498,Regieleki,0
Wild Charge,0.7403,Thundurus Incarnate Forme,0
Wild Charge,0.3458,Solgaleo,0
Wild Charge,0.0637,Arcanine,0
Wild Charge,0.668,Tapu Koko,0
Wild Charge,0.9984,Klinklang,0
Wild Charge,0.9374,Electivire,0
Wild Charge,0.9843,Luxray,0
Wild Charge,0.0422,Bouffalant,0
Wild Charge,0.2415,Stoutland,0
Wild Charge,0.0663,Dunsparce,0
Volt Switch,0.2941,Regieleki,0
Volt Switch,0.328,Raichu,0
Volt Switch,0.2557,Tapu Koko,0
Volt Switch,0.1935,Thundurus Therian Forme,0
Volt Switch,0.2013,Wash Rotom,0
Volt Switch,0.0691,Pikachu,0
Volt Switch,0.1678,Raikou,0
Volt Switch,0.283,Togedemaru,0
Volt Switch,0.0806,Heliolisk,0
Volt Switch,0.5046,Vikavolt,0
Volt Switch,0.1341,Mow Rotom,0
Volt Switch,0.2904,Alolan Raichu,0
Volt Switch,0.3383,Emolga,0
Volt Switch,0.0529,Charjabug,0
Volt Switch,0.3091,Toxtricity Low Key Form,0
Volt Switch,0.1551,Magnezone,0
Volt Switch,0.1727,Magneton,0
Volt Switch,0.3236,Jolteon,0
Volt Switch,0.4686,Dedenne,0
Assurance,0.2491,Regieleki,0
Assurance,0.0405,Scyther,0
Rising Voltage,0.2121,Regieleki,0
