English name,Attribute,Check
[[Number 1: Infection Buzzking|Number 1: Infection Buzzking]],DARK,X
[[Number 37: Hope Woven Dragon Spider Shark|Number 37: Hope Woven Dragon Spider Shark]],WATER,X
[[Number 38: Hope Harbinger Dragon Titanic Galaxy|Number 38: Hope Harbinger Dragon Titanic Galaxy]],LIGHT,O
[[Number 39: Utopia|Number 39: Utopia]],LIGHT,O
[[Number 39: Utopia Beyond|Number 39: Utopia Beyond]],LIGHT,X
[[Number 39: Utopia Double|Number 39: Utopia Double]],LIGHT,X
[[Number 39: Utopia Rising|Number 39: Utopia Rising]],LIGHT,X
[[Number 39: Utopia Roots|Number 39: Utopia Roots]],LIGHT,X
[[Number 40: Gimmick Puppet of Strings|Number 40: Gimmick Puppet of Strings]],DARK,O
[[Number 41: Bagooska the Terribly Tired Tapir|Number 41: Bagooska the Terribly Tired Tapir]],EARTH,O
[[Number 42: Galaxy Tomahawk|Number 42: Galaxy Tomahawk]],WIND,O
[[Number 43: Manipulator of Souls|Number 43: Manipulator of Souls]],DARK,X
[[Number 44: Sky Pegasus|Number 44: Sky Pegasus]],LIGHT,O
[[Number 45: Crumble Logos the Prophet of Demolition|Number 45: Crumble Logos the Prophet of Demolition]],EARTH,X
[[Number 46: Dragluon|Number 46: Dragluon]],LIGHT,O
[[Number 47: Nightmare Shark|Number 47: Nightmare Shark]],WATER,O
[[Number 48: Shadow Lich|Number 48: Shadow Lich]],DARK,O
[[Number 49: Fortune Tune|Number 49: Fortune Tune]],LIGHT,X
[[Number 50: Blackship of Corn|Number 50: Blackship of Corn]],DARK,O
[[Number 51: Finisher the Strong Arm|Number 51: Finisher the Strong Arm]],EARTH,O
[[Number 52: Diamond Crab King|Number 52: Diamond Crab King]],EARTH,X
[[Number 53: Heart-eartH|Number 53: Heart-eartH]],DARK,O
[[Number 54: Lion Heart|Number 54: Lion Heart]],EARTH,O
[[Number 55: Gogogo Goliath|Number 55: Gogogo Goliath]],EARTH,O
[[Number 56: Gold Rat|Number 56: Gold Rat]],LIGHT,O
[[Number 57: Tri-Head Dust Dragon|Number 57: Tri-Head Dust Dragon]],FIRE,O
[[Number 58: Burner Visor|Number 58: Burner Visor]],FIRE,O
[[Number 59: Crooked Cook|Number 59: Crooked Cook]],FIRE,O
[[Number 60: Dugares the Timeless|Number 60: Dugares the Timeless]],FIRE,X
[[Number 61: Volcasaurus|Number 61: Volcasaurus]],FIRE,O
[[Number 62: Galaxy-Eyes Prime Photon Dragon|Number 62: Galaxy-Eyes Prime Photon Dragon]],LIGHT,O
[[Number 63: Shamoji Soldier|Number 63: Shamoji Soldier]],LIGHT,O
[[Number 64: Ronin Raccoon Sandayu|Number 64: Ronin Raccoon Sandayu]],EARTH,O
[[Number 65: Djinn Buster|Number 65: Djinn Buster]],DARK,X
[[Number 66: Master Key Beetle|Number 66: Master Key Beetle]],DARK,O
[[Number 67: Pair-a-Dice Smasher|Number 67: Pair-a-Dice Smasher]],LIGHT,X
[[Number 68: Sanaphond the Sky Prison|Number 68: Sanaphond the Sky Prison]],DARK,O
[[Number 69: Heraldry Crest|Number 69: Heraldry Crest]],LIGHT,O
[[Number 70: Malevolent Sin|Number 70: Malevolent Sin]],DARK,O
[[Number 71: Rebarian Shark|Number 71: Rebarian Shark]],WATER,O
[[Number 72: Shogi Rook|Number 72: Shogi Rook]],EARTH,X
[[Number 73: Abyss Splash|Number 73: Abyss Splash]],WATER,O
[[Number 74: Master of Blades|Number 74: Master of Blades]],EARTH,X
[[Number 75: Bamboozling Gossip Shadow|Number 75: Bamboozling Gossip Shadow]],WIND,X
[[Number 76: Harmonizer Gradielle|Number 76: Harmonizer Gradielle]],LIGHT,X
[[Number 77: The Seven Sins|Number 77: The Seven Sins]],DARK,O
[[Number 78: Number Archive|Number 78: Number Archive]],LIGHT,O
[[Number 79: Battlin' Boxer Nova Kaiser|Number 79: Battlin' Boxer Nova Kaiser]],FIRE,X
[[Number 80: Rhapsody in Berserk|Number 80: Rhapsody in Berserk]],DARK,X
[[Number 81: Superdreadnought Rail Cannon Super Dora|Number 81: Superdreadnought Rail Cannon Super Dora]],EARTH,X
[[Number 82: Heartlandraco|Number 82: Heartlandraco]],EARTH,X
[[Number 83: Galaxy Queen|Number 83: Galaxy Queen]],DARK,O
[[Number 84: Pain Gainer|Number 84: Pain Gainer]],DARK,O
[[Number 85: Crazy Box|Number 85: Crazy Box]],DARK,O
[[Number 86: Heroic Champion - Rhongomyniad|Number 86: Heroic Champion - Rhongomyniad]],DARK,O
[[Number 87: Queen of the Night|Number 87: Queen of the Night]],WATER,O
[[Number 88: Gimmick Puppet of Leo|Number 88: Gimmick Puppet of Leo]],DARK,X
[[Number 89: Diablosis the Mind Hacker|Number 89: Diablosis the Mind Hacker]],DARK,O
[[Number 90: Galaxy-Eyes Photon Lord|Number 90: Galaxy-Eyes Photon Lord]],LIGHT,X
[[Number 91: Thunder Spark Dragon|Number 91: Thunder Spark Dragon]],LIGHT,X
[[Number 92: Heart-eartH Dragon|Number 92: Heart-eartH Dragon]],DARK,X
[[Number 93: Utopia Kaiser|Number 93: Utopia Kaiser]],LIGHT,O
[[Number 94: Crystalzero|Number 94: Crystalzero]],WATER,O
[[Number 95: Galaxy-Eyes Dark Matter Dragon|Number 95: Galaxy-Eyes Dark Matter Dragon]],DARK,O
[[Number 96: Dark Mist|Number 96: Dark Mist]],DARK,O
[[Number 97: Draglubion|Number 97: Draglubion]],DARK,X
[[Number 98: Antitopian|Number 98: Antitopian]],DARK,O
[[Number 99: Utopia Dragonar|Number 99: Utopia Dragonar]],LIGHT,X
[[Number 99: Utopic Dragon|Number 99: Utopic Dragon]],LIGHT,O
[[Number F0: Utopic Draco Future|Number F0: Utopic Draco Future]],LIGHT,X
[[Number F0: Utopic Future|Number F0: Utopic Future]],LIGHT,O
[[Number F0: Utopic Future Slash|Number F0: Utopic Future Slash]],LIGHT,X
[[Number S0: Utopic ZEXAL|Number S0: Utopic ZEXAL]],LIGHT,O
[[Number XX: Utopic Dark Infinity|Number XX: Utopic Dark Infinity]],DARK,X
[[Number 100: Numeron Dragon|Number 100: Numeron Dragon]],LIGHT,O
[[Number 101: Silent Honor ARK|Number 101: Silent Honor ARK]],WATER,O
[[Number 102: Star Seraph Sentry|Number 102: Star Seraph Sentry]],LIGHT,X
[[Number 103: Ragnazero|Number 103: Ragnazero]],WATER,X
[[Number 104: Masquerade|Number 104: Masquerade]],LIGHT,X
[[Number 105: Battlin' Boxer Star Cestus|Number 105: Battlin' Boxer Star Cestus]],FIRE,O
[[Number 106: Giant Hand|Number 106: Giant Hand]],EARTH,O
[[Number 107: Galaxy-Eyes Tachyon Dragon|Number 107: Galaxy-Eyes Tachyon Dragon]],LIGHT,O
[[Number C1: Numeron Chaos Gate Sunya|Number C1: Numeron Chaos Gate Sunya]],DARK,O
[[Number C5: Chaos Chimera Dragon|Number C5: Chaos Chimera Dragon]],DARK,O
[[Number C6: Chronomaly Chaos Atlandis|Number C6: Chronomaly Chaos Atlandis]],LIGHT,O
[[Number C9: Chaos Dyson Sphere|Number C9: Chaos Dyson Sphere]],LIGHT,X
[[Number C15: Gimmick Puppet Giant Hunter|Number C15: Gimmick Puppet Giant Hunter]],DARK,X
[[Number C32: Shark Drake Leviathan|Number C32: Shark Drake Leviathan]],WATER,X
[[Number C32: Shark Drake Veiss|Number C32: Shark Drake Veiss]],WATER,O
[[Number C39: Utopia Ray|Number C39: Utopia Ray]],LIGHT,O
[[Number C39: Utopia Ray V|Number C39: Utopia Ray V]],LIGHT,O
[[Number C39: Utopia Ray Victory|Number C39: Utopia Ray Victory]],LIGHT,X
[[Number C40: Gimmick Puppet of Dark Strings|Number C40: Gimmick Puppet of Dark Strings]],DARK,X
[[Number C43: High Manipulator of Chaos|Number C43: High Manipulator of Chaos]],DARK,O
[[Number C62: Neo Galaxy-Eyes Prime Photon Dragon|Number C62: Neo Galaxy-Eyes Prime Photon Dragon]],LIGHT,X
[[Number C65: King Overfiend|Number C65: King Overfiend]],DARK,O
[[Number C69: Heraldry Crest of Horror|Number C69: Heraldry Crest of Horror]],LIGHT,X
[[Number C73: Abyss Supra Splash|Number C73: Abyss Supra Splash]],WATER,O
[[Number C79: Battlin' Boxer General Kaiser|Number C79: Battlin' Boxer General Kaiser]],FIRE,X
[[Number C80: Requiem in Berserk|Number C80: Requiem in Berserk]],DARK,O
[[Number C88: Gimmick Puppet Disaster Leo|Number C88: Gimmick Puppet Disaster Leo]],DARK,O
[[Number C92: Heart-eartH Chaos Dragon|Number C92: Heart-eartH Chaos Dragon]],DARK,X
[[Number C96: Dark Storm|Number C96: Dark Storm]],DARK,X
[[Number C1000: Numerounius|Number C1000: Numerounius]],LIGHT,O
[[Number C101: Silent Honor DARK|Number C101: Silent Honor DARK]],WATER,X
[[Number C102: Archfiend Seraph|Number C102: Archfiend Seraph]],LIGHT,X
[[Number C103: Ragnafinity|Number C103: Ragnafinity]],WATER,X
[[Number C104: Umbral Horror Masquerade|Number C104: Umbral Horror Masquerade]],DARK,X
[[Number C105: Battlin' Boxer Comet Cestus|Number C105: Battlin' Boxer Comet Cestus]],FIRE,O
[[Number C106: Giant Red Hand|Number C106: Giant Red Hand]],EARTH,O
[[Number C107: Neo Galaxy-Eyes Tachyon Dragon|Number C107: Neo Galaxy-Eyes Tachyon Dragon]],LIGHT,X
[[Number S39: Utopia Prime|Number S39: Utopia Prime]],LIGHT,O
[[Number S39: Utopia the Lightning|Number S39: Utopia the Lightning]],LIGHT,O
[[Number iC1000: Numerounius Numerounia|Number iC1000: Numerounius Numerounia]],LIGHT,X
[[Ultimate Dragonic Utopia Ray|Ultimate Dragonic Utopia Ray]],LIGHT,X
[[Ultimate Leo Utopia Ray|Ultimate Leo Utopia Ray]],LIGHT,X
